%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2260.7510	2.5164	1.2310	1.9989	68.6010	0.3340	5.0302	2.4606	2.0443	0.2651	0.2000	1.0000
2260.9030	2.8124	1.2475	1.9880	71.7390	0.3400	5.5912	2.4801	2.2544	0.2643	0.2000	1.0000
2261.0550	2.8576	1.2906	1.9379	71.6690	0.3680	5.5377	2.5011	2.2141	0.2524	0.2000	1.0000
2261.2070	3.0227	1.3194	1.8852	70.6180	0.3950	5.6984	2.4874	2.2909	0.2882	0.2000	1.0000
2261.3600	3.0137	1.3470	1.8341	73.7730	0.4210	5.5274	2.4705	2.2374	0.3298	0.2000	1.0000
2261.5120	2.9867	1.3399	1.8674	77.4390	0.3990	5.5773	2.5021	2.2290	0.4048	0.2000	1.0000
2261.6650	3.0281	1.3388	1.9204	84.0520	0.3700	5.8151	2.5710	2.2618	0.3989	0.2000	1.0000
2261.8170	2.9136	1.3176	1.9887	83.5290	0.3350	5.7942	2.6203	2.2113	0.3499	0.2000	1.0000
2261.9700	2.8875	1.4303	1.9906	79.2060	0.3360	5.7478	2.8471	2.0188	0.3124	0.2000	1.0000
2262.1220	2.8722	1.4420	2.0264	75.9090	0.3170	5.8204	2.9222	1.9918	0.3003	0.2000	1.0000
2262.2740	2.8785	1.4550	2.0397	74.8370	0.3080	5.8713	2.9676	1.9784	0.3311	0.2000	1.0000
2262.4270	2.8336	1.4561	2.0747	77.5550	0.2890	5.8788	3.0210	1.9460	0.3269	0.2000	1.0000
2262.5790	2.8183	1.4937	2.0864	77.1830	0.2860	5.8802	3.1165	1.8868	0.2687	0.2000	1.0000
2262.7320	2.7571	1.4995	2.0844	72.0510	0.2910	5.7470	3.1256	1.8387	0.2010	0.2000	1.0000
2262.8840	2.6627	1.4960	2.0896	66.0900	0.2930	5.5640	3.1260	1.7799	0.1178	0.2000	1.0000
2263.0360	2.6620	1.5080	2.0687	58.7560	0.3050	5.5069	3.1197	1.7652	0.1048	0.2000	1.0000
2263.1890	2.6666	1.5665	2.0726	57.6040	0.3030	5.5270	3.2468	1.7023	0.1028	0.2000	1.0000
2263.3410	2.7959	1.5754	2.0474	57.4340	0.3160	5.7242	3.2254	1.7747	0.1143	0.2000	1.0000
2263.4940	2.7951	1.6438	2.0558	58.4440	0.3110	5.7462	3.3794	1.7004	0.1219	0.2000	1.0000
2263.6460	2.8381	1.6864	2.0642	59.1170	0.3070	5.8584	3.4810	1.6829	0.1127	0.2000	1.0000
2263.7980	2.8688	1.6998	2.0832	58.3030	0.2950	5.9762	3.5410	1.6877	0.1434	0.2000	1.0000
2263.9510	2.8810	1.7074	2.0986	61.0100	0.2870	6.0461	3.5832	1.6873	0.1377	0.2000	1.0000
2264.1030	2.8843	1.7053	2.1106	60.5090	0.2790	6.0878	3.5992	1.6914	0.1630	0.2000	1.0000
2264.2560	2.9623	1.7043	2.1207	62.7330	0.2740	6.2821	3.6143	1.7381	0.1556	0.2000	1.0000
2264.4080	2.9127	1.6953	2.1147	62.0860	0.2760	6.1597	3.5852	1.7181	0.1762	0.2000	1.0000
2264.5600	3.0189	1.6845	2.0974	63.8960	0.2850	6.3321	3.5330	1.7922	0.1828	0.2000	1.0000
2264.7130	3.0262	1.6341	2.1033	64.4840	0.2820	6.3648	3.4368	1.8519	0.1801	0.2000	1.0000
2264.8650	3.0256	1.6621	2.1093	64.2470	0.2790	6.3821	3.5060	1.8203	0.1750	0.2000	1.0000
2265.0180	3.0618	1.6562	2.1117	63.7920	0.2790	6.4658	3.4975	1.8487	0.1528	0.2000	1.0000
2265.1700	2.9795	1.6578	2.1076	61.8380	0.2810	6.2796	3.4941	1.7972	0.1568	0.2000	1.0000
2265.3230	2.9946	1.6617	2.0940	62.1850	0.2890	6.2707	3.4795	1.8022	0.1462	0.2000	1.0000
2265.4750	2.9341	1.6245	2.1284	61.2520	0.2710	6.2448	3.4575	1.8062	0.1358	0.2000	1.0000
2265.6270	2.9038	1.5714	2.1318	60.3400	0.2700	6.1903	3.3498	1.8480	0.1217	0.2000	1.0000
2265.7800	2.8934	1.5672	2.1280	59.0920	0.2710	6.1571	3.3349	1.8463	0.1396	0.2000	1.0000
2265.9320	2.9732	1.5736	2.0740	60.6770	0.2970	6.1664	3.2635	1.8895	0.1958	0.2000	1.0000
2266.0840	2.8946	1.5762	2.0556	65.6260	0.3050	5.9500	3.2401	1.8364	0.2309	0.2000	1.0000
2266.2370	2.8632	1.5677	2.0500	68.7170	0.3090	5.8696	3.2138	1.8264	0.2142	0.2000	1.0000
2266.3890	2.8612	1.5625	2.0537	67.2460	0.3090	5.8760	3.2090	1.8311	0.1781	0.2000	1.0000
2266.5410	2.8548	1.5541	2.0632	64.0650	0.3030	5.8901	3.2064	1.8370	0.1933	0.2000	1.0000
2266.6940	2.8569	1.5462	2.0797	65.4080	0.2920	5.9413	3.2155	1.8477	0.2288	0.2000	1.0000
2266.8460	2.9939	1.5592	2.0507	68.5370	0.3060	6.1394	3.1974	1.9201	0.2606	0.2000	1.0000
2266.9990	3.0360	1.5568	2.0517	71.3360	0.3080	6.2290	3.1941	1.9501	0.2151	0.2000	1.0000
2267.1510	2.9792	1.5634	2.0492	67.3260	0.3120	6.1052	3.2038	1.9056	0.1678	0.2000	1.0000
2267.3040	2.9015	1.6118	2.1160	63.1580	0.2770	6.1394	3.4106	1.8001	0.1479	0.2000	1.0000
2267.4560	2.9001	1.6212	2.1242	61.4070	0.2730	6.1605	3.4439	1.7888	0.1401	0.2000	1.0000
2267.6080	2.8792	1.6309	2.1480	60.7200	0.2590	6.1844	3.5032	1.7654	0.1594	0.2000	1.0000
2267.7610	2.9086	1.4831	2.1417	62.4200	0.2640	6.2293	3.1764	1.9611	0.1325	0.2000	1.0000
2267.9130	2.9980	1.4865	2.1367	60.0480	0.2650	6.4059	3.1763	2.0168	0.1609	0.2000	1.0000
2268.0660	3.0031	1.5075	2.1042	62.5540	0.2820	6.3189	3.1721	1.9920	0.1718	0.2000	1.0000
2268.2180	2.9806	1.6488	2.0851	63.5130	0.2910	6.2150	3.4380	1.8078	0.1946	0.2000	1.0000
2268.3700	2.9639	1.6748	2.0538	65.5230	0.3100	6.0875	3.4397	1.7697	0.1591	0.2000	1.0000
2268.5230	2.9371	1.6362	2.0574	62.3890	0.3080	6.0427	3.3663	1.7950	0.1603	0.2000	1.0000
2268.6750	2.9472	1.6438	2.0415	62.5010	0.3170	6.0166	3.3557	1.7929	0.1537	0.2000	1.0000
2268.8280	3.0271	1.6326	2.0734	61.9160	0.2990	6.2764	3.3850	1.8542	0.1664	0.2000	1.0000
2268.9800	3.0416	1.6371	2.0655	63.0350	0.3050	6.2824	3.3815	1.8579	0.1356	0.2000	1.0000
2269.1320	2.9694	1.5421	2.0855	60.3190	0.2930	6.1927	3.2161	1.9256	0.1562	0.2000	1.0000
2269.2850	2.9684	1.5414	2.0911	62.1370	0.2890	6.2073	3.2232	1.9258	0.1732	0.2000	1.0000
2269.4370	2.9782	1.5354	2.0946	63.6360	0.2850	6.2381	3.2160	1.9397	0.2096	0.2000	1.0000
2269.5900	3.0049	1.5384	2.0988	66.8400	0.2840	6.3066	3.2287	1.9533	0.1875	0.2000	1.0000
2269.7420	2.9935	1.5418	2.0913	64.8970	0.2870	6.2605	3.2245	1.9416	0.2055	0.2000	1.0000
2269.8940	2.9829	1.6179	2.0962	66.4790	0.2850	6.2527	3.3913	1.8437	0.1946	0.2000	1.0000
2270.0470	2.9986	1.5349	2.0978	65.5190	0.2830	6.2905	3.2199	1.9537	0.2135	0.2000	1.0000
2270.1990	2.9838	1.5315	2.0985	67.1880	0.2840	6.2614	3.2138	1.9483	0.1906	0.2000	1.0000
2270.3520	3.0723	1.5198	2.0905	65.1650	0.2880	6.4228	3.1772	2.0215	0.1959	0.2000	1.0000
2270.5040	3.1323	1.4808	2.0864	65.6340	0.2880	6.5352	3.0896	2.1153	0.2342	0.2000	1.0000
2270.6570	3.1473	1.4918	2.0634	69.0120	0.2970	6.4940	3.0781	2.1097	0.2963	0.2000	1.0000
2270.8090	3.0058	1.5221	2.0688	74.4820	0.2910	6.2184	3.1489	1.9748	0.3483	0.2000	1.0000
2270.9610	2.9840	1.5659	2.0764	79.0680	0.2870	6.1960	3.2515	1.9056	0.3450	0.2000	1.0000
2271.1130	2.9507	1.4370	2.1152	78.7770	0.2690	6.2415	3.0396	2.0534	0.2894	0.2000	1.0000
2271.2660	2.8505	1.4794	2.1150	73.8790	0.2710	6.0289	3.1289	1.9268	0.2581	0.2000	1.0000
2271.4190	2.7630	1.4464	2.0961	71.1160	0.2830	5.7917	3.0319	1.9102	0.2291	0.2000	1.0000
