%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2260.7510	2.7670	1.2030	2.0930	68.6010	0.3340	5.7913	2.5179	2.3001	0.2651	0.2000	1.0000
2260.9030	2.9890	1.2170	2.0890	71.7390	0.3400	6.2440	2.5423	2.4560	0.2643	0.2000	1.0000
2261.0550	2.9910	1.2410	2.0960	71.6690	0.3680	6.2691	2.6011	2.4102	0.2524	0.2000	1.0000
2261.2070	3.0670	1.2460	2.1140	70.6180	0.3950	6.4836	2.6340	2.4615	0.2882	0.2000	1.0000
2261.3600	2.9960	1.2470	2.1400	73.7730	0.4210	6.4114	2.6686	2.4026	0.3298	0.2000	1.0000
2261.5120	2.9750	1.2470	2.1560	77.4390	0.3990	6.4141	2.6885	2.3857	0.4048	0.2000	1.0000
2261.6650	3.0380	1.2580	2.1750	84.0520	0.3700	6.6077	2.7362	2.4149	0.3989	0.2000	1.0000
2261.8170	2.9850	1.2550	2.1920	83.5290	0.3350	6.5431	2.7510	2.3785	0.3499	0.2000	1.0000
2261.9700	2.9830	1.3630	2.1920	79.2060	0.3360	6.5387	2.9877	2.1886	0.3124	0.2000	1.0000
2262.1220	2.9950	1.3840	2.2000	75.9090	0.3170	6.5890	3.0448	2.1640	0.3003	0.2000	1.0000
2262.2740	2.9770	1.3890	2.2380	74.8370	0.3080	6.6625	3.1086	2.1433	0.3311	0.2000	1.0000
2262.4270	2.9400	1.3890	2.2800	77.5550	0.2890	6.7032	3.1669	2.1166	0.3269	0.2000	1.0000
2262.5790	2.9540	1.4270	2.2860	77.1830	0.2860	6.7528	3.2621	2.0701	0.2687	0.2000	1.0000
2262.7320	2.9510	1.4420	2.2540	72.0510	0.2910	6.6516	3.2503	2.0465	0.2010	0.2000	1.0000
2262.8840	2.9440	1.4540	2.2120	66.0900	0.2930	6.5121	3.2162	2.0248	0.1178	0.2000	1.0000
2263.0360	2.9510	1.4670	2.1860	58.7560	0.3050	6.4509	3.2069	2.0116	0.1048	0.2000	1.0000
2263.1890	2.9800	1.5320	2.1670	57.6040	0.3030	6.4577	3.3198	1.9452	0.1028	0.2000	1.0000
2263.3410	3.0510	1.5320	2.1650	57.4340	0.3160	6.6054	3.3168	1.9915	0.1143	0.2000	1.0000
2263.4940	3.0610	1.6000	2.1700	58.4440	0.3110	6.6424	3.4720	1.9131	0.1219	0.2000	1.0000
2263.6460	3.1070	1.6440	2.1720	59.1170	0.3070	6.7484	3.5708	1.8899	0.1127	0.2000	1.0000
2263.7980	3.1310	1.6620	2.1790	58.3030	0.2950	6.8224	3.6215	1.8839	0.1434	0.2000	1.0000
2263.9510	3.1410	1.6680	2.1990	61.0100	0.2870	6.9071	3.6679	1.8831	0.1377	0.2000	1.0000
2264.1030	3.1390	1.6680	2.2060	60.5090	0.2790	6.9246	3.6796	1.8819	0.1630	0.2000	1.0000
2264.2560	3.2000	1.6680	2.2140	62.7330	0.2740	7.0848	3.6930	1.9185	0.1556	0.2000	1.0000
2264.4080	3.1530	1.6580	2.2110	62.0860	0.2760	6.9713	3.6658	1.9017	0.1762	0.2000	1.0000
2264.5600	3.2150	1.6410	2.2100	63.8960	0.2850	7.1052	3.6266	1.9592	0.1828	0.2000	1.0000
2264.7130	3.2250	1.5970	2.2020	64.4840	0.2820	7.1015	3.5166	2.0194	0.1801	0.2000	1.0000
2264.8650	3.2390	1.6290	2.1960	64.2470	0.2790	7.1128	3.5773	1.9883	0.1750	0.2000	1.0000
2265.0180	3.2790	1.6260	2.1910	63.7920	0.2790	7.1843	3.5626	2.0166	0.1528	0.2000	1.0000
2265.1700	3.2120	1.6260	2.1910	61.8380	0.2810	7.0375	3.5626	1.9754	0.1568	0.2000	1.0000
2265.3230	3.2140	1.6230	2.1950	62.1850	0.2890	7.0547	3.5625	1.9803	0.1462	0.2000	1.0000
2265.4750	3.1870	1.5960	2.2050	61.2520	0.2710	7.0273	3.5192	1.9969	0.1358	0.2000	1.0000
2265.6270	3.1630	1.5440	2.2080	60.3400	0.2700	6.9839	3.4092	2.0486	0.1217	0.2000	1.0000
2265.7800	3.1520	1.5420	2.1980	59.0920	0.2710	6.9281	3.3893	2.0441	0.1396	0.2000	1.0000
2265.9320	3.1600	1.5320	2.1880	60.6770	0.2970	6.9141	3.3520	2.0627	0.1958	0.2000	1.0000
2266.0840	3.0850	1.5320	2.1760	65.6260	0.3050	6.7130	3.3336	2.0137	0.2309	0.2000	1.0000
2266.2370	3.0620	1.5220	2.1750	68.7170	0.3090	6.6599	3.3104	2.0118	0.2142	0.2000	1.0000
2266.3890	3.0730	1.5180	2.1760	67.2460	0.3090	6.6868	3.3032	2.0244	0.1781	0.2000	1.0000
2266.5410	3.0730	1.5150	2.1710	64.0650	0.3030	6.6715	3.2891	2.0284	0.1933	0.2000	1.0000
2266.6940	3.0760	1.5140	2.1690	65.4080	0.2920	6.6718	3.2839	2.0317	0.2288	0.2000	1.0000
2266.8460	3.1480	1.5140	2.1750	68.5370	0.3060	6.8469	3.2930	2.0793	0.2606	0.2000	1.0000
2266.9990	3.1920	1.5110	2.1780	71.3360	0.3080	6.9522	3.2910	2.1125	0.2151	0.2000	1.0000
2267.1510	3.1680	1.5200	2.1680	67.3260	0.3120	6.8682	3.2954	2.0842	0.1678	0.2000	1.0000
2267.3040	3.1730	1.5920	2.1690	63.1580	0.2770	6.8822	3.4530	1.9931	0.1479	0.2000	1.0000
2267.4560	3.1740	1.6000	2.1810	61.4070	0.2730	6.9225	3.4896	1.9838	0.1401	0.2000	1.0000
2267.6080	3.1610	1.6130	2.1960	60.7200	0.2590	6.9416	3.5421	1.9597	0.1594	0.2000	1.0000
2267.7610	3.1610	1.4620	2.2040	62.4200	0.2640	6.9668	3.2222	2.1621	0.1325	0.2000	1.0000
2267.9130	3.2120	1.4620	2.2090	60.0480	0.2650	7.0953	3.2296	2.1970	0.1609	0.2000	1.0000
2268.0660	3.1940	1.4730	2.2040	62.5540	0.2820	7.0396	3.2465	2.1684	0.1718	0.2000	1.0000
2268.2180	3.1790	1.6070	2.1950	63.5130	0.2910	6.9779	3.5274	1.9782	0.1946	0.2000	1.0000
2268.3700	3.1630	1.6230	2.1870	65.5230	0.3100	6.9175	3.5495	1.9489	0.1591	0.2000	1.0000
2268.5230	3.1480	1.5910	2.1760	62.3890	0.3080	6.8500	3.4620	1.9786	0.1603	0.2000	1.0000
2268.6750	3.1500	1.5940	2.1710	62.5010	0.3170	6.8387	3.4606	1.9762	0.1537	0.2000	1.0000
2268.8280	3.2270	1.5940	2.1750	61.9160	0.2990	7.0187	3.4670	2.0245	0.1664	0.2000	1.0000
2268.9800	3.2420	1.5950	2.1760	63.0350	0.3050	7.0546	3.4707	2.0326	0.1356	0.2000	1.0000
2269.1320	3.1820	1.5090	2.1780	60.3190	0.2930	6.9304	3.2866	2.1087	0.1562	0.2000	1.0000
2269.2850	3.1790	1.5100	2.1790	62.1370	0.2890	6.9270	3.2903	2.1053	0.1732	0.2000	1.0000
2269.4370	3.1740	1.5040	2.1830	63.6360	0.2850	6.9288	3.2832	2.1104	0.2096	0.2000	1.0000
2269.5900	3.2000	1.5060	2.1900	66.8400	0.2840	7.0080	3.2981	2.1248	0.1875	0.2000	1.0000
2269.7420	3.1790	1.5060	2.1920	64.8970	0.2870	6.9684	3.3012	2.1109	0.2055	0.2000	1.0000
2269.8940	3.1930	1.5850	2.1840	66.4790	0.2850	6.9735	3.4616	2.0145	0.1946	0.2000	1.0000
2270.0470	3.1940	1.5060	2.1790	65.5190	0.2830	6.9597	3.2816	2.1208	0.2135	0.2000	1.0000
2270.1990	3.1940	1.5050	2.1730	67.1880	0.2840	6.9406	3.2704	2.1223	0.1906	0.2000	1.0000
2270.3520	3.2540	1.4900	2.1750	65.1650	0.2880	7.0775	3.2408	2.1839	0.1959	0.2000	1.0000
2270.5040	3.2840	1.4490	2.1790	65.6340	0.2880	7.1558	3.1574	2.2664	0.2342	0.2000	1.0000
2270.6570	3.2620	1.4490	2.1870	69.0120	0.2970	7.1340	3.1690	2.2512	0.2963	0.2000	1.0000
2270.8090	3.1280	1.4760	2.2000	74.4820	0.2910	6.8816	3.2472	2.1192	0.3483	0.2000	1.0000
2270.9610	3.0930	1.5080	2.2390	79.0680	0.2870	6.9252	3.3764	2.0511	0.3450	0.2000	1.0000
2271.1130	3.0770	1.3890	2.2640	78.7770	0.2690	6.9663	3.1447	2.2153	0.2894	0.2000	1.0000
2271.2660	3.0220	1.4340	2.2510	73.8790	0.2710	6.8025	3.2279	2.1074	0.2581	0.2000	1.0000
2271.4190	2.9770	1.4090	2.2090	71.1160	0.2830	6.5762	3.1125	2.1128	0.2291	0.2000	1.0000
2271.5710	2.9420	1.4090	2.1790	68.5650	0.2960	6.4106	3.0702	2.0880	0.2437	0.2000	1.0000
2271.7230	2.9290	1.3710	2.1830	69.8520	0.3090	6.3940	2.9929	2.1364	0.2282	0.2000	1.0000
2271.8760	2.9300	1.3680	2.1890	68.4870	0.3120	6.4138	2.9946	2.1418	0.2365	0.2000	1.0000
2272.0280	2.9100	1.3710	2.1920	69.2150	0.3450	6.3787	3.0052	2.1225	0.2682	0.2000	1.0000
2272.1800	2.9580	1.4280	2.1770	72.0100	0.3560	6.4396	3.1088	2.0714	0.2763	0.2000	1.0000
2272.3330	3.0030	1.4710	2.1730	72.7190	0.3560	6.5255	3.1965	2.0415	0.2853	0.2000	1.0000
2272.4850	3.0090	1.4710	2.1820	73.5140	0.3280	6.5656	3.2097	2.0455	0.2531	0.2000	1.0000
2272.6380	3.0980	1.4890	2.2010	70.6760	0.3090	6.8187	3.2773	2.0806	0.2462	0.2000	1.0000
2272.7900	3.1160	1.4960	2.1940	70.0740	0.3120	6.8365	3.2822	2.0829	0.2293	0.2000	1.0000
2272.9420	3.1290	1.4510	2.1750	68.5820	0.3060	6.8056	3.1559	2.1564	0.1775	0.2000	1.0000
2273.0950	3.1520	1.5080	2.1680	64.0100	0.3050	6.8335	3.2693	2.0902	0.1582	0.2000	1.0000
2273.2470	3.1290	1.4550	2.1790	62.3110	0.2890	6.8181	3.1704	2.1505	0.1090	0.2000	1.0000
2273.4000	3.0570	1.4550	2.1840	57.9740	0.2850	6.6765	3.1777	2.1010	0.1197	0.2000	1.0000
2273.5520	2.9640	1.3970	2.1860	58.9160	0.2810	6.4793	3.0538	2.1217	0.1296	0.2000	1.0000
2273.7040	2.9440	1.3850	2.1880	59.7940	0.2780	6.4415	3.0304	2.1256	0.1687	0.2000	1.0000
2273.8570	2.9260	1.3770	2.1940	63.2360	0.2720	6.4196	3.0211	2.1249	0.2021	0.2000	1.0000
2274.0090	2.9240	1.2700	2.2240	66.1840	0.2870	6.5030	2.8245	2.3024	0.2662	0.2000	1.0000
