%Depth m	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Vclay Frac					
2024.5304	2.4145	0.9015	2.3329	95.5703	0.4695	0.5355					
2024.6827	2.3841	0.9001	2.3301	91.7376	0.4501	0.4920					
2024.8352	2.4205	0.8905	2.2850	91.1350	0.4649	0.4852					
2024.9875	2.4184	0.8943	2.3281	93.5820	0.4984	0.5129					
2025.1400	2.5046	0.9929	2.4309	90.7152	0.4737	0.4804					
2025.2924	2.4092	0.8751	2.5649	90.1755	0.4428	0.4743					
2025.4448	2.4061	0.8751	2.4862	92.3176	0.4118	0.4986					
2025.5972	2.5677	0.9025	2.3171	99.0766	0.4413	0.5753					
2025.7496	2.4292	0.9458	2.1587	101.7406	0.4764	0.6055					
2025.9020	2.7258	1.0493	2.1239	100.8654	0.4798	0.5956					
2026.0544	2.4144	0.9613	2.2028	100.6454	0.4436	0.5931					
2026.2068	2.3833	0.9771	2.3388	94.7041	0.4184	0.5257					
2026.3593	2.4034	0.9802	2.3899	98.4201	0.4039	0.5678					
2026.5116	2.4613	0.9677	2.3192	98.1840	0.4517	0.5652					
2026.6639	2.4493	0.8708	2.3059	103.7155	0.4804	0.6279					
2026.8164	2.4470	0.8371	2.3209	102.4576	0.4814	0.6136					
2026.9688	2.5370	0.8686	2.3132	110.3250	0.4760	0.7029					
2027.1212	2.3134	0.8655	2.2755	118.7041	0.4838	0.7980					
2027.2736	2.3192	0.8906	2.2602	124.5564	0.4857	0.8644					
2027.4260	2.3332	0.8932	2.2750	121.2672	0.4741	0.8270					
2027.5784	2.3413	0.9001	2.2299	113.4783	0.4561	0.7387					
2027.7308	2.3641	0.8670	2.1568	106.1214	0.4713	0.6552					
2027.8832	2.4075	0.9070	2.0949	99.3157	0.4649	0.5780					
2028.0356	2.5081	0.9103	2.0870	104.8640	0.4614	0.6409					
2028.1880	2.5516	0.9530	2.1224	107.9111	0.4603	0.6755					
2028.3405	2.5358	0.9795	2.1896	108.1310	0.4594	0.6780					
2028.4928	2.4645	0.8686	2.2880	104.6245	0.4626	0.6382					
2028.6451	2.2498	0.9011	2.3327	100.1349	0.4198	0.5873					
2028.7976	2.2478	0.9024	2.3269	97.3308	0.3922	0.5555					
2028.9500	2.2638	0.8180	2.2728	97.1191	0.4079	0.5531					
2029.1024	2.2447	0.7591	2.2334	101.0155	0.4788	0.5973					
2029.2548	2.2540	0.7747	2.2149	104.4540	0.5040	0.6363					
2029.4072	2.2668	0.7623	2.2330	104.3137	0.5015	0.6347					
2029.5596	2.2783	0.7751	2.1829	100.9013	0.4636	0.5960					
2029.7120	2.2598	0.7751	2.0938	94.9703	0.4522	0.5287					
2029.8644	2.2405	0.8349	2.0500	88.5362	0.4561	0.4557					
2030.0168	2.2343	0.7933	2.0773	89.0158	0.4897	0.4611					
2030.1692	2.2663	0.7773	2.0981	96.3309	0.4884	0.5441					
2030.3217	2.2751	0.7660	2.1324	101.3536	0.4891	0.6011					
2030.4740	2.2551	0.7637	2.1573	101.4960	0.4633	0.6027					
2030.6263	2.2262	0.8131	2.1919	96.2144	0.4668	0.5428					
2030.7788	2.1851	0.7967	2.1765	91.1571	0.4565	0.4854					
2030.9312	2.1830	0.7812	2.1413	91.6360	0.4528	0.4909					
2031.0836	2.1753	0.7859	2.0827	95.7548	0.4225	0.5376					
2031.2360	2.1508	0.7941	2.0500	98.5973	0.4094	0.5698					
2031.3884	2.1753	0.7909	2.0500	99.7667	0.4349	0.5831					
2031.5408	2.1853	0.7852	2.0500	98.6916	0.4841	0.5709					
2031.6932	2.1980	0.7949	2.0500	98.4323	0.4889	0.5680					
2031.8456	2.2165	0.7995	2.0539	93.4254	0.4668	0.5112					
2031.9980	2.1972	0.7750	2.0588	91.0594	0.4655	0.4843					
2032.1504	2.2081	0.7773	2.0594	85.7454	0.4665	0.4240					
2032.3029	2.2039	0.7495	2.0512	87.5868	0.4928	0.4449					
2032.4552	2.2051	0.7508	2.0610	85.8260	0.4838	0.4250					
2032.6075	2.2021	0.8287	2.0649	88.1296	0.4775	0.4511					
2032.7600	2.2055	0.7779	2.1186	86.9401	0.4646	0.4376					
2032.9124	2.2090	0.7767	2.1662	90.1420	0.4745	0.4739					
2033.0648	2.2076	0.7767	2.1944	88.5505	0.4831	0.4559					
2033.2172	2.2200	0.7945	2.1882	88.5862	0.5167	0.4563					
2033.3696	2.2152	0.7911	2.1720	85.8964	0.5255	0.4258					
2033.5220	2.2262	0.7714	2.1781	89.3399	0.5163	0.4648					
2033.6744	2.2284	0.7589	2.1958	89.5774	0.5054	0.4675					
2033.8268	2.2185	0.7589	2.2130	89.8482	0.4745	0.4706					
2033.9792	2.1878	0.7972	2.2033	88.1329	0.5005	0.4511					
2034.1316	2.1689	0.7758	2.1902	88.1273	0.4908	0.4511					
2034.2841	2.1923	0.8048	2.1811	87.1913	0.5001	0.4404					
2034.4364	2.2009	0.8119	2.1732	86.1669	0.4658	0.4288					
2034.5887	2.2104	0.8213	2.1123	83.7294	0.4781	0.4012					
2034.7412	2.2234	0.8178	2.0747	83.3407	0.5069	0.3968					
2034.8936	2.2382	0.8368	2.0681	83.9865	0.5164	0.4041					
2035.0460	2.2349	0.8427	2.1368	84.2211	0.5038	0.4067					
2035.1984	2.2434	0.8424	2.1766	80.2252	0.4937	0.3614					
2035.3508	2.2246	0.8181	2.1756	78.9220	0.4989	0.3466					
2035.5032	2.2263	0.8181	2.1729	76.8496	0.4921	0.3231					
