%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2193.8470	3.0210	1.3600	2.1880	65.0660	0.3010	6.6099	2.9757	2.2213	0.2583	0.9640	1.0000
2193.9990	2.9670	1.3590	2.2130	71.1390	0.3050	6.5660	3.0075	2.1832	0.3272	1.0000	1.0000
2194.1520	3.0310	1.3180	2.2500	77.2090	0.3010	6.8198	2.9655	2.2997	0.4164	0.9890	1.0000
2194.3040	2.9940	1.3180	2.2830	85.0710	0.2940	6.8353	3.0090	2.2716	0.4475	0.9650	1.0000
2194.4560	2.9590	1.3180	2.2970	87.8160	0.2940	6.7968	3.0274	2.2451	0.4533	1.0000	1.0000
2194.6090	2.9100	1.2840	2.2800	88.3200	0.3240	6.6348	2.9275	2.2664	0.4296	0.9770	1.0000
2194.7610	2.8890	1.2040	2.2590	86.2350	0.3500	6.5263	2.7198	2.3995	0.4232	0.9170	1.0000
2194.9140	2.8440	1.1960	2.2560	85.6670	0.3570	6.4161	2.6982	2.3779	0.4248	0.8990	1.0000
2195.0660	2.8650	1.2190	2.2620	85.8100	0.3350	6.4806	2.7574	2.3503	0.4029	0.9060	1.0000
2195.2180	2.8160	1.2190	2.2650	83.8830	0.3250	6.3782	2.7610	2.3101	0.3826	0.9130	1.0000
2195.3710	2.7890	1.2320	2.2510	82.0920	0.3320	6.2780	2.7732	2.2638	0.3577	0.9650	1.0000
2195.5230	2.8030	1.2360	2.2380	79.8950	0.3410	6.2731	2.7662	2.2678	0.3280	1.0000	1.0000
2195.6750	2.8110	1.2520	2.2230	77.2840	0.3500	6.2489	2.7832	2.2452	0.2617	1.0000	1.0000
2195.8280	2.8150	1.3210	2.2020	71.4350	0.3230	6.1986	2.9088	2.1310	0.2459	0.9920	1.0000
2195.9810	2.8380	1.2880	2.1940	70.0430	0.3300	6.2266	2.8259	2.2034	0.2920	0.9330	1.0000
2196.1330	2.8340	1.2880	2.2060	74.1060	0.3290	6.2518	2.8413	2.2003	0.3228	0.9550	1.0000
2196.2850	2.8520	1.2400	2.2130	76.8220	0.3590	6.3115	2.7441	2.3000	0.3297	0.9780	1.0000
2196.4380	2.8520	1.2170	2.1990	77.4250	0.3390	6.2715	2.6762	2.3435	0.2776	0.9970	1.0000
2196.5900	2.8520	1.1830	2.1810	72.8420	0.3170	6.2202	2.5801	2.4108	0.2666	1.0000	1.0000
2196.7420	2.8140	1.2080	2.1610	71.8720	0.3060	6.0811	2.6105	2.3295	0.2668	1.0000	1.0000
2196.8950	2.7740	1.2080	2.1570	71.8850	0.3090	5.9835	2.6057	2.2964	0.2787	1.0000	1.0000
2197.0470	2.7880	1.2000	2.1440	72.9300	0.3170	5.9775	2.5728	2.3233	0.2804	1.0000	1.0000
2197.2000	2.7570	1.1500	2.1290	73.0870	0.3140	5.8697	2.4484	2.3974	0.3138	0.9560	1.0000
2197.3520	2.6800	1.1100	2.1250	76.0320	0.3120	5.6950	2.3588	2.4144	0.3479	0.9290	0.9260
2197.5040	2.6630	1.1040	2.1400	79.0300	0.2990	5.6988	2.3626	2.4121	0.3973	0.9490	0.9930
2197.6570	2.6580	1.1040	2.1500	83.3930	0.3330	5.7147	2.3736	2.4076	0.3859	0.9690	1.0000
2197.8090	2.6450	1.1150	2.1530	82.3850	0.3410	5.6947	2.4006	2.3722	0.3970	0.9610	1.0000
2197.9620	2.6240	1.1060	2.1820	83.3660	0.3670	5.7256	2.4133	2.3725	0.4063	1.0000	1.0000
2198.1140	2.6370	1.0930	2.2030	84.1840	0.3330	5.8093	2.4079	2.4126	0.4400	1.0000	1.0000
2198.2660	2.7430	1.0990	2.2290	87.1520	0.3210	6.1141	2.4497	2.4959	0.4720	1.0000	1.0000
2198.4190	2.7280	1.1920	2.1770	89.9690	0.3580	5.9389	2.5950	2.2886	0.4896	1.0000	1.0000
2198.5710	2.9330	1.1930	2.1440	91.5250	0.3790	6.2884	2.5578	2.4585	0.4970	1.0000	1.0000
2198.7240	2.9240	1.2200	2.1250	92.1800	0.3900	6.2135	2.5925	2.3967	0.4689	0.9860	1.0000
2198.8760	2.9050	1.2210	2.1780	89.7040	0.3390	6.3271	2.6593	2.3792	0.4359	0.9280	1.0000
2199.0280	2.8960	1.3060	2.2030	86.7920	0.3220	6.3799	2.8771	2.2175	0.4058	0.9190	1.0000
2199.1810	2.8620	1.2180	2.2290	84.1400	0.3250	6.3794	2.7149	2.3498	0.3233	1.0000	1.0000
2199.3330	2.7910	1.2180	2.2220	76.8630	0.3300	6.2016	2.7064	2.2915	0.3237	1.0000	1.0000
2199.4860	2.7030	1.1950	2.2160	76.9020	0.3300	5.9898	2.6481	2.2619	0.3643	1.0000	1.0000
2199.6380	2.7010	1.2320	2.2070	80.4760	0.3100	5.9611	2.7190	2.1924	0.4565	0.9840	1.0000
2199.7900	2.6410	1.1710	2.1890	88.6050	0.3340	5.7811	2.5633	2.2553	0.4815	0.8870	1.0000
2199.9430	2.6040	1.0890	2.1520	90.8090	0.3650	5.6038	2.3435	2.3912	0.4815	0.9370	1.0000
2200.0950	2.6280	1.0890	2.1310	91.4840	0.3720	5.6003	2.3207	2.4132	0.4815	0.9370	1.0000
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
